Order_ID,Event_Name,Event_Date,First_Name,Last_Name,Email,Postcode,Ticket_Type,Quantity,Ticket_Price,Purchase_Date,Attendance_Status
EVB-PC-356130,Musical Celebration,2026-04-30,Freya,Morgan,freya.morgan99@hotmail.co.uk,PL1 2 BV,General Admission,1,39.61,2026-04-29 09:00,Attended
EVB-PC-824856,Musical Celebration,2026-04-30,Freya,King,freya.king16@icloud.com,PL9 9 XW,General Admission,1,39.61,2026-02-15 13:59:59.999997,Attended
EVB-PC-900602,Musical Celebration,2026-04-30,Alfie,Turner,alfie.turner14@outlook.com,PL9 4 IP,General Admission,1,39.61,2026-02-27 12:00,Attended
EVB-PC-513068,Musical Celebration,2026-04-30,Phoebe,King,phoebe.king34@hotmail.co.uk,PL9 5 EQ,General Admission,1,39.61,2026-04-04 13:59:59.999997,Attended
EVB-PC-206698,Musical Celebration,2026-04-30,Noah,Smith,noah.smith36@icloud.com,PL2 5 ZG,General Admission,1,39.61,2026-04-08 10:59:59.999997,No-show
EVB-PC-355085,Musical Celebration,2026-04-30,Alice,Patel,alice.patel17@gmail.com,PL5 6 HQ,General Admission,1,39.61,2026-02-24 15:00,Attended
EVB-PC-349136,Musical Celebration,2026-04-30,Emily,Morgan,emily.morgan20@hotmail.co.uk,PL4 7 IX,General Admission,1,39.61,2026-02-26 16:59:59.999997,Attended
EVB-PC-250455,Musical Celebration,2026-04-30,Harry,Ward,harry.ward70@yahoo.co.uk,PL9 7 RN,General Admission,2,39.61,2026-02-19 13:00:00.000003,Partial
EVB-PC-812281,Musical Celebration,2026-04-30,Sophie,Jackson,sophie.jackson86@yahoo.co.uk,PL6 6 SK,General Admission,1,39.61,2026-03-20 19:00:00.000003,Attended
EVB-PC-815550,Musical Celebration,2026-04-30,Joshua,Davies,joshua.davies15@gmail.com,PL7 8 AD,General Admission,2,39.61,2026-02-08 18:00,Attended
EVB-PC-487437,Musical Celebration,2026-04-30,Samuel,Baker,samuel.baker93@icloud.com,PL3 8 TA,General Admission,2,39.61,2026-03-09 16:00:00.000003,Partial
EVB-PC-805039,Musical Celebration,2026-04-30,Alice,Ahmed,alice.ahmed31@icloud.com,PL2 1 BR,General Admission,2,39.61,2026-04-11 19:59:59.999997,Attended
EVB-PC-177744,Musical Celebration,2026-04-30,Charlotte,Green,charlotte.green9@gmail.com,PL3 8 GE,General Admission,1,39.61,2026-03-29 13:59:59.999997,Attended
EVB-PC-475577,Musical Celebration,2026-04-30,Amelia,King,amelia.king21@hotmail.co.uk,PL9 1 DV,General Admission,1,39.61,2026-04-26 07:59:59.999997,Attended
EVB-PC-275742,Musical Celebration,2026-04-30,Thomas,White,thomas.white96@icloud.com,PL6 3 EC,General Admission,1,39.61,2026-02-12 19:59:59.999997,Attended
EVB-PC-646853,Musical Celebration,2026-04-30,Poppy,Walker,poppy.walker46@hotmail.co.uk,PL3 1 CO,General Admission,1,39.61,2026-03-26 10:59:59.999997,No-show
EVB-PC-597692,Musical Celebration,2026-04-30,Jessica,Baker,jessica.baker10@hotmail.co.uk,PL4 1 ZG,General Admission,1,39.61,2026-03-18 07:59:59.999997,Attended
EVB-PC-996591,Musical Celebration,2026-04-30,Samuel,Harris,samuel.harris65@outlook.com,PL1 8 DZ,General Admission,2,39.61,2026-02-16 12:00,Attended
EVB-PC-800236,Musical Celebration,2026-04-30,George,Davies,george.davies16@hotmail.co.uk,PL9 2 ZO,General Admission,1,39.61,2026-04-23 18:00,Attended
EVB-PC-555725,Musical Celebration,2026-04-30,Grace,Green,grace.green57@gmail.com,PL7 5 LD,General Admission,2,39.61,2026-02-12 12:00,Attended
