Order_ID,Event_Name,Event_Date,First_Name,Last_Name,Email,Postcode,Ticket_Type,Quantity,Ticket_Price,Purchase_Date,Attendance_Status
EVB-PC-396835,Museum Discovery Session,2026-02-11,Henry,Taylor,henry.taylor54@hotmail.co.uk,TA6 2 KG,General Admission,1,0,2025-12-16 13:59:59.999997,Attended
EVB-PC-354120,Museum Discovery Session,2026-02-11,Henry,Ward,henry.ward72@yahoo.co.uk,EX3 5 GK,General Admission,1,0,2025-12-22 13:00:00.000003,Attended
EVB-PC-215978,Museum Discovery Session,2026-02-11,Thomas,White,thomas.white96@icloud.com,PL6 3 EC,General Admission,1,0,2025-12-26 10:00:00.000003,Attended
EVB-PC-795905,Museum Discovery Session,2026-02-11,Thomas,Wood,thomas.wood97@hotmail.co.uk,PL7 2 NZ,General Admission,2,0,2025-12-14 16:59:59.999997,Attended
EVB-PC-663361,Museum Discovery Session,2026-02-11,Leo,Wilson,leo.wilson30@yahoo.co.uk,PL12 7 WO,General Admission,1,0,2026-01-11 10:59:59.999997,Attended
EVB-PC-504220,Museum Discovery Session,2026-02-11,Emma,Wood,emma.wood27@icloud.com,PL14 1 MO,General Admission,1,0,2025-11-18 19:59:59.999997,Attended
EVB-PC-224019,Museum Discovery Session,2026-02-11,Harry,Patel,harry.patel42@gmail.com,PL2 8 XN,General Admission,1,0,2025-12-17 10:00:00.000003,Attended
EVB-PC-184388,Museum Discovery Session,2026-02-11,Ruby,Turner,ruby.turner76@icloud.com,EX2 7 VZ,General Admission,1,0,2026-02-02 15:00,Attended
EVB-PC-997855,Museum Discovery Session,2026-02-11,Chloe,Patel,chloe.patel52@yahoo.co.uk,TQ1 7 TM,General Admission,1,0,2026-01-08 12:00,Attended
EVB-PC-931304,Museum Discovery Session,2026-02-11,George,Walker,george.walker66@icloud.com,PL4 3 GB,General Admission,2,0,2025-12-13 16:00:00.000003,Attended
