Order_ID,Event_Name,Event_Date,First_Name,Last_Name,Email,Postcode,Ticket_Type,Quantity,Ticket_Price,Purchase_Date,Attendance_Status
EVB-PC-211291,Community Performance,2026-08-23,Ruby,Cook,ruby.cook79@outlook.com,PL6 1 GD,General Admission,1,15.93,2026-07-21 10:59:59.999997,No-show
EVB-PC-689308,Community Performance,2026-08-23,Lucas,Wilson,lucas.wilson31@icloud.com,PL7 1 QB,General Admission,2,15.93,2026-07-13 10:59:59.999997,Attended
EVB-PC-734098,Community Performance,2026-08-23,Samuel,Singh,samuel.singh71@icloud.com,PL4 6 DH,General Admission,3,15.93,2026-07-04 19:59:59.999997,Attended
EVB-PC-696932,Community Performance,2026-08-23,Ella,Ward,ella.ward24@yahoo.co.uk,PL7 3 IA,General Admission,1,15.93,2026-08-05 16:00:00.000003,Attended
EVB-PC-721584,Community Performance,2026-08-23,James,Murphy,james.murphy11@gmail.com,TA6 7 SC,General Admission,1,15.93,2026-05-28 18:00,Attended
EVB-PC-694364,Community Performance,2026-08-23,Jack,Evans,jack.evans6@icloud.com,PL4 5 OE,General Admission,1,15.93,2026-06-16 16:59:59.999997,Attended
EVB-PC-834309,Community Performance,2026-08-23,Olivia,Moore,olivia.moore9@yahoo.co.uk,TR1 9 NT,General Admission,1,15.93,2026-08-19 13:59:59.999997,Attended
EVB-PC-129828,Community Performance,2026-08-23,Poppy,Cooper,poppy.cooper35@gmail.com,PL2 9 BA,General Admission,1,15.93,2026-06-15 09:00,Attended
EVB-PC-707603,Community Performance,2026-08-23,Leo,Murphy,leo.murphy10@outlook.com,TQ12 1 MN,General Admission,2,15.93,2026-08-17 15:00,Attended
EVB-PC-853532,Community Performance,2026-08-23,Poppy,Roberts,poppy.roberts12@yahoo.co.uk,PL3 2 RE,General Admission,1,15.93,2026-07-18 10:59:59.999997,Attended
EVB-PC-158097,Community Performance,2026-08-23,Alice,Taylor,alice.taylor37@icloud.com,TQ4 3 RL,General Admission,1,15.93,2026-07-02 07:59:59.999997,No-show
EVB-PC-782360,Community Performance,2026-08-23,Alice,Jackson,alice.jackson80@yahoo.co.uk,PL5 1 NL,General Admission,1,15.93,2026-06-04 10:00:00.000003,Attended
EVB-PC-117313,Community Performance,2026-08-23,James,Cook,james.cook96@hotmail.co.uk,PL6 5 KK,General Admission,1,15.93,2026-06-21 07:59:59.999997,Attended
EVB-PC-191292,Community Performance,2026-08-23,Harry,Bennett,harry.bennett59@gmail.com,EX2 1 ZI,General Admission,1,15.93,2026-07-26 18:00,Attended
EVB-PC-284054,Community Performance,2026-08-23,Grace,Hill,grace.hill53@icloud.com,PL6 3 ML,General Admission,1,15.93,2026-06-14 10:00:00.000003,Attended
EVB-PC-315693,Community Performance,2026-08-23,Lily,Smith,lily.smith6@gmail.com,PL7 1 RS,General Admission,2,15.93,2026-08-01 13:00:00.000003,Attended
EVB-PC-231554,Community Performance,2026-08-23,James,Jackson,james.jackson95@gmail.com,TQ4 1 CQ,General Admission,1,15.93,2026-06-29 13:00:00.000003,Attended
EVB-PC-203339,Community Performance,2026-08-23,Jack,Roberts,jack.roberts92@yahoo.co.uk,PL1 4 SR,General Admission,1,15.93,2026-06-09 09:00,Attended
EVB-PC-742254,Community Performance,2026-08-23,Lucy,Johnson,lucy.johnson2@yahoo.co.uk,PL14 5 NA,General Admission,1,15.93,2026-07-31 13:00:00.000003,Attended
EVB-PC-890934,Community Performance,2026-08-23,Jessica,Taylor,jessica.taylor81@gmail.com,PL7 6 ZD,General Admission,1,15.93,2026-06-26 13:00:00.000003,No-show
EVB-PC-584422,Community Performance,2026-08-23,Samuel,Scott,samuel.scott57@gmail.com,PL5 8 BY,General Admission,1,15.93,2026-07-20 12:00,Attended
EVB-PC-145914,Community Performance,2026-08-23,Megan,Wilson,megan.wilson94@yahoo.co.uk,PL3 2 DE,General Admission,1,15.93,2026-06-03 10:00:00.000003,Attended
EVB-PC-765037,Community Performance,2026-08-23,Freya,Clarke,freya.clarke35@outlook.com,PL6 2 QL,General Admission,1,15.93,2026-08-17 19:59:59.999997,Attended
EVB-PC-156346,Community Performance,2026-08-23,William,Thomas,william.thomas18@yahoo.co.uk,PL5 3 BZ,General Admission,3,15.93,2026-05-27 19:59:59.999997,Partial
EVB-PC-737342,Community Performance,2026-08-23,Lily,Jones,lily.jones3@gmail.com,PL5 7 HQ,General Admission,3,15.93,2026-07-16 10:59:59.999997,Partial
EVB-PC-873192,Community Performance,2026-08-23,Alice,Scott,alice.scott26@yahoo.co.uk,PL4 3 UA,General Admission,2,15.93,2026-07-19 16:00:00.000003,Attended
EVB-PC-863525,Community Performance,2026-08-23,Thomas,Allen,thomas.allen54@yahoo.co.uk,PL3 2 WX,General Admission,1,15.93,2026-08-18 10:00:00.000003,Attended
