Booking_Reference,Event,Date,Name,Email,Postcode,Tickets_Booked,Attended,Notes
AUP-AUP-498097,Family Gallery Trail,2026-03-03,Poppy Jones,poppy.jones12@gmail.com,PL4 5 HN,2,2,
AUP-AUP-250463,Family Gallery Trail,2026-03-03,Ruby Davies,ruby.davies1@yahoo.co.uk,PL4 3 KI,1,1,Local resident
AUP-AUP-398963,Family Gallery Trail,2026-03-03,Sophie Hill,sophie.hill14@yahoo.co.uk,EX3 5 JX,3,2,Local resident
AUP-AUP-644783,Family Gallery Trail,2026-03-03,Oscar Clarke,oscar.clarke88@icloud.com,EX4 1 VU,1,1,Community referral
AUP-AUP-576308,Family Gallery Trail,2026-03-03,Oscar Scott,oscar.scott21@icloud.com,PL5 8 IY,1,1,Community referral
AUP-AUP-323737,Family Gallery Trail,2026-03-03,Chloe Smith,chloe.smith1@outlook.com,TQ1 4 VR,1,0,
AUP-AUP-625153,Family Gallery Trail,2026-03-03,Amelia Roberts,amelia.roberts60@outlook.com,PL2 8 DL,2,2,Local resident
AUP-AUP-333993,Family Gallery Trail,2026-03-03,Oliver Singh,oliver.singh36@hotmail.co.uk,PL9 2 LR,1,1,
AUP-AUP-426762,Family Gallery Trail,2026-03-03,Jacob Moore,jacob.moore35@yahoo.co.uk,PL7 8 XA,1,0,
AUP-AUP-349507,Family Gallery Trail,2026-03-03,Lily Wood,lily.wood23@gmail.com,PL2 1 KF,1,1,
