Booking_Reference,Event,Date,Name,Email,Postcode,Tickets_Booked,Attended,Notes
AUP-AUP-493111,History Workshop,2026-12-28,Leo Ahmed,leo.ahmed42@hotmail.co.uk,PL6 8 YC,1,,Local resident
AUP-AUP-392317,History Workshop,2026-12-28,Ella Evans,ella.evans78@gmail.com,PL6 3 PU,1,,Community referral
AUP-AUP-499802,History Workshop,2026-12-28,George Smith,george.smith90@hotmail.co.uk,PL12 4 AB,3,,
AUP-AUP-799745,History Workshop,2026-12-28,Emma Jones,emma.jones8@gmail.com,PL9 6 ZH,3,,
AUP-AUP-879896,History Workshop,2026-12-28,Harry Ward,harry.ward66@hotmail.co.uk,PL14 8 RE,1,,Repeat visitor
AUP-AUP-552560,History Workshop,2026-12-28,Lily Martin,lily.martin36@hotmail.co.uk,PL21 7 DS,1,,Local resident
AUP-AUP-670100,History Workshop,2026-12-28,Alice Evans,alice.evans71@yahoo.co.uk,EX3 8 OX,3,,Repeat visitor
AUP-AUP-982408,History Workshop,2026-12-28,Harry Young,harry.young20@outlook.com,PL2 1 ZA,2,,
AUP-AUP-199654,History Workshop,2026-12-28,Lucas Harris,lucas.harris89@hotmail.co.uk,PL9 6 WI,2,,Local resident
AUP-AUP-949258,History Workshop,2026-12-28,Sophie Taylor,sophie.taylor33@icloud.com,PL5 1 FX,1,,
AUP-AUP-510885,History Workshop,2026-12-28,Oliver Singh,oliver.singh36@hotmail.co.uk,PL9 2 LR,1,,
AUP-AUP-176972,History Workshop,2026-12-28,Joshua Patel,joshua.patel55@yahoo.co.uk,PL5 8 VE,1,,Local resident
AUP-AUP-276890,History Workshop,2026-12-28,Alice Walker,alice.walker69@yahoo.co.uk,EX4 9 JK,2,,
AUP-AUP-759770,History Workshop,2026-12-28,Emily Murphy,emily.murphy16@gmail.com,PL1 8 GJ,1,,
AUP-AUP-115755,History Workshop,2026-12-28,Emma Martin,emma.martin41@yahoo.co.uk,PL2 7 AM,2,,
